# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[1184.42 - 1186.42] Конечно.
[1186.42 - 1188.42] А, честно говоря,
[1188.42 - 1190.42] никакие...
[1190.42 - 1191.42] честно говоря, ЕГЭ
[1191.42 - 1193.42] нужно хорошо сдать на всякий случай.
[1193.42 - 1194.42] Честно говоря, на всякий случай
[1194.42 - 1195.42] ЕГЭ надо가지 дать хорошо.
[1195.42 - 1197.42] Что хорошо?
[1197.42 - 1199.42] Честно говоря, на всякий случай
[1199.42 - 1201.42] ЕГЭ нужно сдать хорошо.
[1201.42 - 1202.42] ИГЭ?
[1202.42 - 1204.42] Все, поняла, ЕГЭ, да.
[1204.42 - 1205.42] Да.
[1205.42 - 1207.42] Хотя это не очевидно, что он, в
[1207.42 - 1208.42] себя вообщеunkазал,
[1208.42 - 1209.42] прикcolorится, но мне кажется,
[1209.42 - 1211.42] что имеет смысл...
[1211.42 - 1212.42] какOOOm-то почему.
[1212.42 - 1216.86] Вот у меня есть это тем, у меня есть переезд и так далее.
[1216.86 - 1220.42] У меня есть Мария, у меня есть много что.
[1220.42 - 1223.86] Ну вот, а может теперь это излишнее?
[1223.86 - 1225.82] Нет, нет, не излишнее.
[1225.82 - 1226.82] Нет.
[1226.82 - 1227.82] Ну смотри.
[1227.82 - 1229.82] Короче, давай тогда продолжим.
[1229.82 - 1230.82] Я поняла.
[1230.82 - 1234.98] Мы с тобой сказали, следующий, я напомню.
[1234.98 - 1238.42] Мы с тобой говорили, что заказчик хочет РДК.
[1238.42 - 1240.98] При этом для РДК необходимо...
[1240.98 - 1241.98] Понимание с тебе.
[1241.98 - 1243.98] Понимание стиля и ресурс.
[1243.98 - 1245.98] Понимание ключевых принципов РДК.
[1245.98 - 1247.98] Вот что мы будем рассматривать ключевые принципы.
[1247.98 - 1250.98] Мы будем видеть, не просто смотреть, мы будем видеть.
[1250.98 - 1253.98] Что такое настоящая РДК?
[1253.98 - 1257.98] Почему это, которое похоже, можно назвать РДК?
[1257.98 - 1262.32] Или нет?
[1262.32 - 1265.32] Вообще, что за философию РДК?
[1265.32 - 1266.32] Будем понимать философию РДК?
[1266.32 - 1268.32] Каждый стиль есть в своей философии.
[1268.32 - 1270.32] Да философия не в ниших протестов.
[1270.32 - 1272.32] Философия, они...
[1272.32 - 1274.32] Но вот мы будем...
[1274.32 - 1276.32] Эту философию рассматривать.
[1276.32 - 1278.32] Больше ничего мы не можем.
[1278.32 - 1280.32] Мы можем рассматривать в живую.
[1280.32 - 1282.32] Обращать внимание на те титари,
[1282.32 - 1286.32] в чем фишка часто бывает, когда я хожу.
[1286.32 - 1290.32] Вот Ольга говорит, вы обращаете внимание на такие вещи,
[1290.32 - 1292.32] на которые мы будем видеть.
[1292.32 - 1294.32] Да, я бы... Очередно.
[1294.32 - 1296.32] Мы бы их и не заметили.
[1296.32 - 1298.32] А сейчас...
[1298.32 - 1300.32] Я думаю, что эта вот твоя история, повторяющаяся,
[1300.32 - 1304.32] она, в принципе, неплохая, указующего пальца,
[1304.32 - 1307.32] так уж получилось благодаря твоим оклёным,
[1307.32 - 1308.32] я думаю, врождённым способом.
[1308.32 - 1310.32] Ну как проводники, знаешь?
[1310.32 - 1312.32] Я применен. Так уж получилось,
[1312.32 - 1314.32] во многом, говорим, врождённым способом,
[1314.32 - 1316.32] то что ты с детства, с самого этой теми,
[1316.32 - 1318.32] с твоей и в насмотренности твоим, знаете.
[1318.32 - 1321.32] Так же получилось, еще потому, что ты женщина,
[1321.32 - 1323.32] там, так далее.
[1323.32 - 1327.32] Ты твой, как бы, как сказать, сейчас.
[1327.32 - 1329.32] Твоё разрешение очень высокое,
[1329.32 - 1332.32] то очень много, что видишь, что отчувьёшь.
[1332.32 - 1334.32] И понятно, что ты можешь сказать,
[1334.32 - 1336.32] смотрите, вот можно на это обратить внимание,
[1336.32 - 1338.32] можно на это обратить внимание, можно на это.
[1338.32 - 1340.32] Просто потому, что ты видишь.
[1340.32 - 1342.32] Да? Правильно, понимаешь?
[1342.32 - 1344.32] То есть условно говоря, там, я думаю,
[1344.32 - 1346.32] что я примерно лучше вижу твою здоровье,
[1346.32 - 1348.32] чем ты, я тебе говорю, слушай,
[1348.32 - 1350.32] тебе надо сейчас за пролег соблюдать.
[1350.32 - 1351.32] Ну да.
[1351.32 - 1352.32] Ну да, наверное, может быть.
[1352.32 - 1355.32] Вот, то есть, это всегда такая штука.
[1355.32 - 1356.32] Это важно.
[1356.32 - 1358.32] Мне кажется, что есть ещё одно, в общем,
[1358.32 - 1360.32] важное тело, я не знаю, как его донести,
[1360.32 - 1362.32] практически невозможно.
[1362.32 - 1364.32] Значит,
[1366.32 - 1370.18] мы сейчас находимся вот в эпидемии
[1370.18 - 1372.18] экранов.
[1372.18 - 1373.18] Да?
[1373.18 - 1375.18] Вовсё как смысл слову.
[1375.18 - 1377.18] И...
[1377.18 - 1383.34] Сейчас, сейчас, подожди, сейчас.
[1383.34 - 1385.34] И это погружение настолько глубокое,
[1385.34 - 1387.34] что
[1387.34 - 1389.34] у человека не всегда вообще теперь есть
[1389.34 - 1391.34] понимание
[1391.34 - 1393.34] того, что есть
[1393.34 - 1395.34] вот это погружение.
[1395.34 - 1397.34] Неопосредованное экран, что
[1397.34 - 1399.34] необходимо
[1399.34 - 1401.34] уфлайного
[1401.34 - 1403.34] уфлайного наблюдения.
[1403.34 - 1404.34] Опыт.
[1404.34 - 1406.34] И вот как через экран, потому что
[1406.34 - 1408.34] мы обращаемся к ним через экран.
[1408.34 - 1410.34] Как через экран сказать, ребята, надо выйти
[1410.34 - 1412.34] из экрана для того, что...
[1412.34 - 1413.34] Вот, знаешь, вот ещё.
[1413.34 - 1415.34] То есть есть тема, указающего персто.
[1415.34 - 1417.34] Её, понимаю, моё разорвём.
[1417.34 - 1419.34] Мы на неё обращали внимание уже в Париже.
[1419.34 - 1421.34] Мы же завернув эту тему. Продолжим.
[1421.34 - 1423.34] Вот мне ещё сейчас
[1423.34 - 1425.34] кажется, как вообще типа
[1425.34 - 1427.34] нельзя, надо...
[1429.34 - 1431.34] Такая чёрта, понимаешь?
[1431.34 - 1433.34] Погружение в материальный мир.
[1433.34 - 1435.34] А вот сейчас я запускала курс
[1435.34 - 1436.34] и говорила, что Айдмайс
[1436.34 - 1437.34] самых важных компетенций,
[1437.34 - 1439.34] декоратором.
[1439.34 - 1441.34] Это трогать,
[1441.34 - 1443.34] смотреть в живую.
[1443.34 - 1445.34] На экране это
[1445.34 - 1447.34] конспект. Но прежде чем решиться,
[1447.34 - 1449.34] чтобы поставить такой, это был азарей.
[1449.34 - 1451.34] Такой это подушку.
[1451.34 - 1453.34] И так дальше.
[1453.34 - 1455.34] Должны хорошо понимать тактирные свойства.
[1455.34 - 1457.34] И вообще представлять за отношение
[1457.34 - 1459.34] пропорции объёма.
[1459.34 - 1461.34] Это насмотренность
[1461.34 - 1463.34] в живую. Я вам показываю на фотографии,
[1463.34 - 1465.34] так как надо это
[1465.34 - 1467.34] рассматривать, когда вы будете
[1467.34 - 1469.34] в живую смотреть.
[1471.34 - 1473.34] Вот это можешь мне объяснить ещё.
[1473.34 - 1475.34] Смотри, вот я показываю,
[1475.34 - 1477.34] допустим, джазефа Дирана
[1477.34 - 1479.34] фотографии.
[1479.34 - 1481.34] Мы тебе показывать продемонстрируем.
[1481.34 - 1483.34] Да, пожалуйста, потому что я не понимаю,
[1483.34 - 1485.34] как можно из 2D выйти вообще.
[1485.34 - 1487.34] Нет, я же говорю про конспект.
[1487.34 - 1489.34] Как можно это...
[1491.34 - 1493.34] Я говорю тебе про конспект,
[1493.34 - 1495.34] я говорю о том, как смотреть дальнейшем.
[1495.34 - 1497.34] Я говорю о том, что
[1497.34 - 1499.34] так как мы профессионалы,
[1499.34 - 1501.34] мы перестанем смотреть на картинки
[1501.34 - 1503.34] просто как на картинке
[1503.34 - 1505.34] в смысле, на интерьер.
[1505.34 - 1507.34] Вот, нравится, нравится,
[1507.34 - 1509.34] нравится.
[1509.34 - 1684.36] Ну, тогда давай закончим.
[1684.36 - 1697.08] Нет, не закончим.
[1697.08 - 1732.14] Вот, например, да, картинка
[1732.14 - 1735.83] французца.
[1735.83 - 1737.83] Джазефа Дирана.
[1737.83 - 1739.83] Как, смотрите, видите?
[1741.83 - 1743.83] Первая, вот люди приходят с нуля.
[1743.83 - 1745.83] Ничего, нравится, не нравится.
[1745.83 - 1747.83] Начинаю так собрать.
[1747.83 - 1749.83] Правильно, первая, люди с нуля пришли.
[1749.83 - 1751.83] Как вообще?
[1751.83 - 1753.83] Не нравится, например.
[1753.83 - 1755.83] Не знаю, нравится, не нравится.
[1755.83 - 1757.83] Первое отношение.
[1757.83 - 1759.83] Второе, так как мы
[1759.83 - 1761.83] все-таки учимся
[1761.83 - 1763.83] хотим быть
[1763.83 - 1765.83] профессионалами,
[1765.83 - 1767.83] все-таки очень важно понять,
[1767.83 - 1769.83] нравится, не нравится,
[1769.83 - 1771.83] уйти от этого
[1771.83 - 1773.83] сторону и понять, насколько это
[1773.83 - 1775.83] профессиональный интерьер, что у него есть.
[1775.83 - 1777.83] Ну, начинаем рассматривать
[1777.83 - 1779.83] архитекту, что это такое,
[1779.83 - 1781.83] есть какая-то насмотрение
[1781.83 - 1783.83] с представляющей, где это находится.
[1783.83 - 1785.83] Многие говорят, французская квартира,
[1785.83 - 1787.83] ну, потому что есть
[1787.83 - 1789.83] отправные маркеры.
[1789.83 - 1791.83] Мы их произносим.
[1791.83 - 1793.83] Высокие потолки,
[1793.83 - 1795.83] окна в пол чаще всего,
[1795.83 - 1797.83] архитектурный металл,
[1797.83 - 1799.83] историческая внутренняя архитектура,
[1799.83 - 1801.83] отделка, да, молдинге,
[1801.83 - 1803.83] они бывают разного, разного уровня.
[1803.83 - 1805.83] Они не имеют высокие двери с
[1805.83 - 1807.83] десюдипортами, как правило.
[1807.83 - 1809.83] Окей, отлично.
[1809.83 - 1811.83] Дальше наполнение может быть
[1811.83 - 1813.83] абсолютно иным.
[1813.83 - 1815.83] И что мы вообще в первую очередь
[1815.83 - 1817.83] видим, как мы рассматриваем,
[1817.83 - 1819.83] как мы принимаем решение?
[1819.83 - 1821.83] Первую очередь мы видим калористику,
[1821.83 - 1823.83] цветовую гамму.
[1823.83 - 1825.83] Вот что с калористикой.
[1825.83 - 1827.83] Все начинают говорить, ну, это что-то белое,
[1827.83 - 1829.83] или что-то серое и так дальше.
[1829.83 - 1831.83] Я говорю, первая, переворачивайте, давайте поймем,
[1831.83 - 1833.83] в первую очередь мы с вами
[1833.83 - 1835.83] смотрим светлое и темное.
[1835.83 - 1837.83] Светлое интерьеры, темное интерьеры.
[1837.83 - 1839.83] Вот это начинаем оценивать.
[1839.83 - 1841.83] Да, вы прям записываем.
[1841.83 - 1843.83] Да, конспект.
[1843.83 - 1845.83] Дальше тема у нас.
[1845.83 - 1847.83] Контраст.
[1847.83 - 1849.83] Контраст отвечает за
[1849.83 - 1851.83] впечатление.
[1851.83 - 1853.83] Даже нравится, не нравится это впечатление.
[1853.83 - 1855.83] Да, есть здесь контраст.
[1855.83 - 1857.83] И особенно светлобный контраст.
[1857.83 - 1859.83] Темное светлое есть.
[1859.83 - 1861.83] То есть есть за что глазом зацепиться.
[1861.83 - 1863.83] Это профессиональный прием.
[1863.83 - 1865.83] Контраст будет у нас везде, везде, везде, везде.
[1865.83 - 1867.83] Ну, там можно долго говорить
[1867.83 - 1869.83] про теплое и холодное,
[1869.83 - 1871.83] в чем секрет.
[1871.83 - 1873.83] Это контраст прежде всего, в пэришсево,
[1873.83 - 1875.83] по цвету и, во вторую очередь,
[1875.83 - 1877.83] по объему.
[1877.83 - 1879.83] То есть у тебя есть объем контрастный?
[1879.83 - 1881.83] Нет, мы сейчас цвет разбираем,
[1881.83 - 1883.83] смотри, пока как мы смотрим цвет.
[1883.83 - 1885.83] Есть контраст и есть.
[1885.83 - 1887.83] Есть атакуатонкий элемент,
[1887.83 - 1889.83] разная температура.
[1889.83 - 1891.83] Есть теплое холодно.
[1891.83 - 1893.83] На из больших ошибок многие делают
[1893.83 - 1895.83] декораторы. Интерьер в холодных
[1895.83 - 1897.83] тонах, интерьер в теплых тонах.
[1897.83 - 1899.83] То есть если есть холодные, значит иногда
[1899.83 - 1901.83] теплые. Нет, это большая ошибка.
[1901.83 - 1903.83] Нет, нет. Взаимодействие.
[1903.83 - 1905.83] Да, глубина, как раз в тепло- холодности.
[1905.83 - 1907.83] Посмотрели.
[1907.83 - 1909.83] Матовое, блестящее.
[1909.83 - 1911.83] Вот тоже категория цвета есть.
[1911.83 - 1913.83] То есть посмотрите все параметры,
[1913.83 - 1915.83] которые цепляют нас так или иначе.
[1915.83 - 1917.83] Под цветом есть. Дальше уже можем
[1917.83 - 1919.83] накладывать сколько угодно. Голубоватый
[1919.83 - 1921.83] оттенок, зеленоватый, желтоватый
[1921.83 - 1923.83] и так дальше. Это вторая
[1923.83 - 1925.83] стадия
[1925.83 - 1927.83] другого разбора. Посмотрели.
[1927.83 - 1929.83] Следующее, с точки зрения
[1929.83 - 1931.83] восприятия, мы вообще так работаем,
[1931.83 - 1933.83] мы так живем. Как только
[1933.83 - 1935.83] нас произвело впечатление
[1935.83 - 1937.83] цвет.
[1937.83 - 1939.83] То есть мы какое-то любопытство
[1939.83 - 1941.83] там почувствовали.
[1941.83 - 1943.83] Мы начинаем воспринимать форму
[1943.83 - 1945.83] что с формами.
[1945.83 - 1947.83] Здесь есть геометрия
[1947.83 - 1949.83] а есть формы
[1949.83 - 1951.83] более сплавленные, такие
[1951.83 - 1953.83] губионики. Ну вот, например, вот тот же
[1953.83 - 1955.83] самый. Я говорю, сначала цвет.
[1955.83 - 1957.83] И опять контраст. Сначала цветы и дальше
[1957.83 - 1959.83] объемы. Дальше объем и форма.
[1959.83 - 1961.83] Объем и форма. Рассматриваем.
[1961.83 - 1963.83] И опять видим тот же самый
[1963.83 - 1965.83] прекрасный прием. Контраст.
[1965.83 - 1967.83] Жесткие, геометрические формы
[1967.83 - 1969.83] с этим. То есть у нас тема
[1969.83 - 1971.83] допустим, контраст, на что мы
[1971.83 - 1973.83] обращаем внимание. Посмотрели.
[1973.83 - 1975.83] Объем, формы посмотрели.
[1975.83 - 1977.83] Оценили и как они вообще
[1977.83 - 1979.83] складываются.
[1979.83 - 1981.83] Есть сложно составляющие формы.
[1981.83 - 1983.83] Вот есть простые геометрические формы.
[1983.83 - 1985.83] И бионика довольно
[1985.83 - 1987.83] простая тоже. Есть сложно
[1987.83 - 1989.83] составляющие формы. Еще плюс
[1989.83 - 1991.83] и наскольптур.
[1991.83 - 1993.83] Дальше мы обращали внимание на детали.
[1993.83 - 1995.83] Детали, в том числе,
[1995.83 - 1997.83] которые касаются арт. Или
[1997.83 - 1999.83] на материалы. Все равно. То есть
[1999.83 - 2001.83] так и так можно сделать.
[2001.83 - 2003.83] Разобрали, что здесь есть
[2003.83 - 2005.83] с артом. Да, с деталями, какие
[2005.83 - 2007.83] они есть. И разобрали тоже
[2007.83 - 2009.83] в том числе, с точки зрения материалов
[2009.83 - 2011.83] пока мы не знаем.
[2011.83 - 2013.83] Мы пока ничего не сказали про освещенность.
[2013.83 - 2015.83] Это включается в свет.
[2015.83 - 2017.83] Мы пока ничего не сказали про освещенность.
[2017.83 - 2019.83] На картинке в свет. Мы здесь
[2019.83 - 2021.83] оценить его не можем.
[2021.83 - 2023.83] Просто когда вы будете ходить по этому отелю.
[2023.83 - 2025.83] Обязательно. Обязательно.
[2025.83 - 2027.83] На картинке мы вас сменим.
[2027.83 - 2029.83] Это самое тонкое
[2029.83 - 2031.83] категорию
[2031.83 - 2033.83] восприятия.
[2033.83 - 2035.83] Которые о фотографии
[2035.83 - 2037.83] очень сложно оценить.
[2037.83 - 2039.83] Можно представить.
[2039.83 - 2041.83] Но мы здесь хорошо представляем, что
[2041.83 - 2043.83] днем здесь светло.
[2043.83 - 2045.83] Мы хорошо представляем.
[2045.83 - 2047.83] Каким она играет, не понятно.
[2047.83 - 2049.83] Окон нам даёт
[2049.83 - 2051.83] что вечером мы понятием.
[2051.83 - 2053.83] Да.
[2053.83 - 2055.83] Можно пофантазировать.
[2055.83 - 2057.83] А как раз у Деньё
[2057.83 - 2059.83] с освещением. Очень интересно.
[2059.83 - 2061.83] Особенно там
[2061.83 - 2063.83] в разных местах.
[2063.83 - 2065.83] И это то, что оценивается
[2065.83 - 2067.83] только не по... Вообще освещение
[2067.83 - 2069.83] оценивается
[2069.83 - 2071.83] в большей степени, непосредственным опытом.
[2071.83 - 2073.83] Я всегда говорю о том, что
[2073.83 - 2075.83] нам очень трудно...
[2075.83 - 2077.83] Сейчас, ты спросил,
[2077.83 - 2079.83] я тебе чаю покажу.
[2079.83 - 2081.83] Нам очень трудно даже нам, преподавательам
[2081.83 - 2083.83] комиссии, оценить вашу работу
[2083.83 - 2085.83] с освещением на проекте.
[2085.83 - 2087.83] Мы всегда попадаем пальцем
[2087.83 - 2089.83] в небо.
[2089.83 - 2091.83] Да, я говорю, для меня, например, самый
[2091.83 - 2093.83] трепетный момент.
[2093.83 - 2095.83] Если я работаю с освещением
[2095.83 - 2097.83] и в объекте
[2097.83 - 2099.83] включить свет
[2099.83 - 2101.83] чтобы получилось
[2101.83 - 2103.83] насколько. И там будет
[2103.83 - 2105.83] и я понимаю, что будет ещё
[2105.83 - 2107.83] коррекция определённой благо.
[2107.83 - 2109.83] Сейчас такие технологии,
[2109.83 - 2111.83] что дают возможность коррекции.
[2111.83 - 2113.83] Например, слишком холодно.
[2113.83 - 2115.83] Заменим лампочки
[2115.83 - 2117.83] источники. Не саму лю...
[2117.83 - 2119.83] не саму люстру источники.
[2119.83 - 2121.83] Заменим на тепло.
[2121.83 - 2123.83] Или возьмём сразу такое
[2123.83 - 2125.83] такое освещение, что можно
[2125.83 - 2127.83] тепло и холодно делать.
[2127.83 - 2129.83] Да, понимаешь, да?
[2129.83 - 2131.83] Есть коррекция. Димир есть.
[2131.83 - 2133.83] Слишком ярко.
[2133.83 - 2135.83] Да, ну у тебя есть, у меня можно только два измерения.
[2135.83 - 2137.83] Да, у тебя есть мощность.
[2137.83 - 2139.83] Ты можешь мощность туда-сюда крутить
[2139.83 - 2141.83] тепло.
[2141.83 - 2143.83] И направление.
[2143.83 - 2145.83] А, направление не учёб.
[2145.83 - 2147.83] Ну так, направление очень много.
[2147.83 - 2149.83] Ну, косметически тоже.
[2149.83 - 2151.83] Ну да, ну ты не переносишь светильники по столбам.
[2151.83 - 2153.83] По подолку.
[2153.83 - 2155.83] А я могу такой светильник подобрать, если я умница.
[2155.83 - 2157.83] Что у меня могут направления вот этих вот
[2157.83 - 2159.83] вот расшираться.
[2159.83 - 2161.83] Да, да, но он всё равно будет как-будто из одного.
[2161.83 - 2163.83] То есть пока ещё не делают так, что дайка я сюда
[2163.83 - 2165.83] лампу перебей.
[2165.83 - 2167.83] Делают? Делают.
[2167.83 - 2169.83] Такой компанию совершенно невозможно.
[2169.83 - 2171.83] Вот это невозможно.
[2171.83 - 2173.83] Это галансы, которые
[2173.83 - 2175.83] решили по-моему все проблемы.
[2175.83 - 2177.83] Но все дырки закрыли,
[2177.83 - 2179.83] когда ты трепетно
[2179.83 - 2181.83] планируешь освещение дизайнерское.
[2181.83 - 2183.83] На какой высоте повесить
[2183.83 - 2185.83] светильник над столом,
[2185.83 - 2187.83] чтобы это было идеально.
[2187.83 - 2189.83] И так дальше. Ты можешь
[2189.83 - 2191.83] работать с сиргановикой
[2191.83 - 2193.83] и с гостами, но всё равно
[2193.83 - 2195.83] можешь как-то не попасть.
[2195.83 - 2197.83] Подтягивать придётся или наоборот.
[2197.83 - 2199.83] Или чивать какую-то коррекцию.
[2199.83 - 2201.83] А у тебя на пультике раз ты увидел,
[2201.83 - 2203.83] что...
[2203.83 - 2205.83] поднимается на пультике.
[2205.83 - 2207.83] У тебя стол вот круглый, допустим,
[2207.83 - 2209.83] да, как у меня. И тут
[2209.83 - 2211.83] висит светильник. Я не знал, что уже так делается.
[2211.83 - 2213.83] Тут висит светильник, светильник, который вот здесь.
[2213.83 - 2215.83] Я понимаю. Я раздвигаю стол
[2215.83 - 2217.83] и я могу раздвинуть стол, вообще, там, на 12
[2217.83 - 2219.83] человек. И у меня светильник.
[2221.83 - 2223.83] А есть, есть, который умеет двигаться по
[2223.83 - 2225.83] вот прям... Если у тебя направляющий...
[2225.83 - 2227.83] Вот, считай, у меня здесь нет
[2227.83 - 2229.83] стены. Если у тебя... У тебя вставленные
[2229.83 - 2231.83] направляющие... Да, я понимаю. Давай мы сейчас возьмём
[2231.83 - 2233.83] как ширму. Ну, не ширму, не ширму.
[2233.83 - 2235.83] Пожалуйста, у тебя есть направляющие
[2235.83 - 2237.83] внешние, строенные.
[2237.83 - 2239.83] Пожалуйста, сегодня
[2239.83 - 2241.83] технологии световые,
[2241.83 - 2243.83] изумительные абсолютно,
[2243.83 - 2245.83] они дорогие.
[2245.83 - 2247.83] Потому что это всё это... Это всё-таки инновация.
[2247.83 - 2249.83] Всё это не стандарт. Да, это не стандарт.
[2249.83 - 2251.83] Вообще не стандарт. Она спустится, но там,
[2251.83 - 2253.83] через 20 лет. Да, да, да.
[2253.83 - 2255.83] Да, это дорогая история.
[2255.83 - 2257.83] Поэтому большинстве
[2257.83 - 2259.83] мы бы... Всё, ты примерно ответил
[2259.83 - 2261.83] про свет. То есть свет...
[2261.83 - 2263.83] Это очень важно. И...
[2263.83 - 2265.83] Как, мне кажется,
[2265.83 - 2267.83] да нет, везде важно.
[2267.83 - 2269.83] Но освещение очень важно
[2269.83 - 2271.83] вот этот вот опыт.
[2271.83 - 2273.83] Смотрите, видеть. А почему здесь
[2273.83 - 2275.83] вот такое впечатление?
[2275.83 - 2277.83] Да? Но самое важное,
[2277.83 - 2279.83] что мы делаем? Про чего мы это всё рассматриваем?
[2279.83 - 2281.83] Ради того, чтобы понять
[2281.83 - 2283.83] ключ к атмосфере.
[2283.83 - 2285.83] Это мне понятно. Всё.
[2285.83 - 2287.83] Короче, вот свет, я тебе
[2287.83 - 2289.83] сказал, освещение, вернее,
[2289.83 - 2291.83] не света, освещение.
[2291.83 - 2293.83] Это очень трепетная тема.
[2293.83 - 2295.83] И, конечно же,
[2295.83 - 2297.83] мы рассматриваем фактуры
[2297.83 - 2299.83] и текстуры. И пытаемся
[2299.83 - 2301.83] понять, за что они отвечают. Ну, например,
[2301.83 - 2303.83] вот здесь много бархатных фактуры, текстуры, да, вот
[2303.83 - 2305.83] таких вот пушистых. За что отвечают важные?
[2305.83 - 2307.83] Что это за текст? Мы пишем тексты всегда
[2307.83 - 2309.83] в интерьере. Мы рассказываем
[2309.83 - 2311.83] с помощью этих... Что?
[2311.83 - 2313.83] Не, это метафор. А я люблю.
[2313.83 - 2315.83] Потому что мы говорим... Смотри,
[2315.83 - 2317.83] бархат где появляется? Что это за текст?
[2317.83 - 2319.83] Что это за метафор?
[2319.83 - 2321.83] Бархат.
[2321.83 - 2323.83] Ты привычный человек.
[2323.83 - 2325.83] Это всегда, это всегда трансляция
[2325.83 - 2327.83] ну,
[2327.83 - 2329.83] а какого-то буржуазного и
[2329.83 - 2331.83] атакового гиденестического плана.
[2331.83 - 2333.83] Мне не нравится метафора текстов.
[2333.83 - 2335.83] А мне нравится.
[2335.83 - 2337.83] Это называется текст.
[2337.83 - 2339.83] Хорошо. Конотация.
[2339.83 - 2341.83] Давай конотация скажем.
[2341.83 - 2343.83] Отличный конотация.
[2343.83 - 2345.83] Хорошо. Да, разумеется, у них есть
[2345.83 - 2347.83] конотация.
[2347.83 - 2349.83] Каждая текстура, вот, говори, давайте
[2349.83 - 2351.83] сейчас смотрите, чтобы понять
[2351.83 - 2353.83] сколько это... Да, это второй слой.
[2353.83 - 2355.83] То есть, смотри. Насколько... Это не второй, это
[2355.83 - 2357.83] четвертый уже. Нет, я имею в виду,
[2357.83 - 2359.83] почему, что я имею в виду, в трену слой, ты поймешь.
[2359.83 - 2361.83] Значит, у меня на первом слое есть
[2361.83 - 2363.83] чувственное
[2363.83 - 2365.83] чувственное схватывание.
[2365.83 - 2367.83] В том числе различные контрасты.
[2367.83 - 2369.83] В том числе контраст по цвету. В том числе
[2369.83 - 2371.83] контраст по веом. В зрительной ты имеешь в виду
[2371.83 - 2373.83] или тактильной. Из зрительной и тактильной.
[2373.83 - 2375.83] Я, когда чувствую вот это,
[2375.83 - 2377.83] вот это, я еще не думаю,
[2377.83 - 2379.83] что это богатство в
[2379.83 - 2381.83] долю секунды. Есть непосредственные ощущения.
[2381.83 - 2383.83] И вот есть вот это контраст, например,
[2383.83 - 2385.83] мрамора и...
[2385.83 - 2387.83] Холодного и тепло. Нет, я имею в виду,
[2387.83 - 2389.83] сейчас именно фактурный,
[2389.83 - 2391.83] текстурный. Что у тебя есть, вот.
[2391.83 - 2393.83] Жесткая, холодная,
[2393.83 - 2395.83] мягкая, теплая.
[2395.83 - 2397.83] До всяких коннотаций
[2397.83 - 2399.83] богатая, небогатая.
[2399.83 - 2401.83] И дальше начинается, почему я говорю второго,
[2401.83 - 2403.83] я не имею в виду.
[2403.83 - 2405.83] И дальше начинаются коннотации.
[2405.83 - 2407.83] Да, дальше начинай, как бы расшифровка.
[2407.83 - 2409.83] Нет, ассоциации.
[2409.83 - 2411.83] Вязные ссоциации.
[2411.83 - 2413.83] Потому что ребенок, ребенок, не знает,
[2413.83 - 2415.83] что это богато.
[2415.83 - 2417.83] Но он знает, что это приятно.
[2417.83 - 2419.83] Да, ну понятно.
[2419.83 - 2421.83] И вот эти дети, эти интерьеры, явно.
[2421.83 - 2423.83] Для людей, которые...
[2423.83 - 2425.83] Нет, я хочу почитать просто, что коннотация
[2425.83 - 2427.83] она чуть-чуть запасная.
[2427.83 - 2429.83] Да, и вот это вот...
[2429.83 - 2431.83] И опять, и в материалах, когда мы видим
[2431.83 - 2433.83] профессиональные интерьеры, это уже контрасты.
[2433.83 - 2435.83] Потому что контрасты всегда дают впечатление.
[2435.83 - 2437.83] Это все глядно.
[2437.83 - 2439.83] Это может ли не объяснять.
[2439.83 - 2441.83] И это... Мы, конечно, можем...
[2441.83 - 2443.83] Вот, смотрите, мы разобрали это все
[2443.83 - 2445.83] на картинке.
